X,Y,Country,Prov_Name,Pop,WindVel,GHI,SolarRestriction,TravelHours,NightLights,Elevation,Slope,LandCover,GridDistCurrent,GridDistPlan,SubstationDist,RoadDist,HydropowerFID,HydropowerDist,Hydropower,AgriDem
6994.676758,3416.831543,Afghanistan,Kandahar,230.0258636,4.510000229,2099.412842,1,21,0,902,5.372673988,16,203.2757263,203.2757263,317.3484497,82.58110809,663,93.7040863,456.471,633.1388785
7004.848633,3416.831543,Afghanistan,Kandahar,168.2278748,4.510000229,2106.647949,1,21,0,928,0,16,208.1235352,208.1235352,312.0883484,84.06297302,663,94.9796524,456.471,463.0418785
7015.020508,3416.831543,Afghanistan,Kandahar,137.3288727,4.510000229,2109.514404,1,22,0,1034,2.100034952,16,213.3464813,213.3464813,307.0751648,86.54223633,663,97.30749512,456.471,377.9933573
7025.192383,3416.831543,Afghanistan,Kandahar,102.9966583,4.510000229,2110.878906,1,21,0,1088,0.436953336,16,218.9177246,218.9177246,302.321228,90.10809326,663,100.6146011,456.471,283.4950284
7035.364258,3416.831543,Afghanistan,Kandahar,72.09765625,4.510000229,2123.764648,1,17,0,1171,1.690515161,16,224.8113861,224.8113861,297.8389282,94.63780975,663,104.8083191,456.471,198.4465073
7045.536133,3416.831543,Afghanistan,Kandahar,41.1986618,4.510000229,2128.348145,1,15,0,1243,0.913177073,16,231.0027771,231.0027771,293.640686,100.0004807,662,106.1568832,433.322,113.3980072
7055.708008,3416.831543,Afghanistan,Kandahar,10.29966545,4.510000229,2134.455078,0,12,0,1349,0,16,237.4686127,237.4686127,289.7388916,106.0501862,662,108.0189285,433.322,28.34950179
7096.395508,3416.831543,Afghanistan,Kandahar,14.08477879,4.510000229,2127.496826,1,15,0,1527,8.116786957,16,265.6631775,265.6631775,277.3320313,122.2056656,662,123.8251343,433.322,38.76790595
7106.567383,3416.831543,Afghanistan,Kandahar,70.67172241,4.510000229,2125.359619,1,11,0,1490,1.203231215,16,273.2044373,273.2044373,275.0845337,127.3304672,662,129.4841461,433.322,194.5216697
7116.739746,3416.831543,Afghanistan,Kandahar,103.2706757,4.510000229,2123.547119,1,9,0,1738,17.43114662,16,273.1975098,273.1975098,273.1975098,133.0368652,660,134.0867157,4824.02,284.2492525
7126.911621,3416.831543,Afghanistan,Kandahar,130.9101105,4.510000229,2121.785156,1,12,0,1512,4.084164619,16,271.6784973,271.6784973,271.6784973,135.0753632,660,134.7114716,4824.02,360.3259183
7137.083496,3416.831543,Afghanistan,Kandahar,87.11565399,4.510000229,2121.696045,1,14,0,1543,2.184173107,16,270.5336609,270.5336609,270.5336609,137.5760651,660,136.0957489,4824.02,239.7830687
7147.255371,3416.831543,Afghanistan,Kandahar,5.362216949,4.510000229,2096.297607,0,0,0,0,0,0,269.7677612,269.7677612,269.7677612,140.7690735,660,138.2167206,4824.02,14.75933172
6892.95752,3427.003418,Afghanistan,Kandahar,1.134689331,4.190000057,2061.48999,1,18,0,586,0.77661413,16,170.8342896,170.8342896,373.931427,87.78002167,664,92.75221252,501.832,3.123196319
6903.129395,3427.003418,Afghanistan,Kandahar,56.73446655,4.190000057,2061.908447,1,16,0,603,0.41328305,16,170.6147156,170.6147156,366.6666565,83.34488678,664,87.45288849,501.832,156.1598159
6913.30127,3427.003418,Afghanistan,Kandahar,89.64045715,4.190000057,2061.829102,1,17,0,605,0.578802645,16,171.0010071,171.0010071,359.5429382,79.93885803,664,83.06610107,501.832,246.7325092
6923.473145,3427.003418,Afghanistan,Kandahar,112.3342438,4.190000057,2061.133789,1,17,0,614,0.421631366,16,171.9890747,171.9890747,352.5687561,76.7400589,664,79.74259949,501.832,309.1964357
6933.64502,3427.003418,Afghanistan,Kandahar,113.4689331,4.190000057,2055.845459,1,14,0,611,0.491840571,16,173.5686493,173.5686493,345.7532043,74.41143036,664,77.61909485,501.832,312.3196319
